OBJECTID,MapUnit,Name,FullName,Age,Description,HierarchyKey,ParagraphStyle,Label,Symbol,AreaFillRGB,AreaFillPatternDescription,DescriptionSourceID,GeoMaterial,GeoMaterialConfidence,DescriptionOfMapUnits_ID
"1",water,water,water,unknown,water,"00",DMU1,,water,"151,219,242",,DAS02,Water or ice,High,DMU01
"2",,Unconsolidated Deposits and Stratified Rocks,,,,"01",Heading2,,,,,DAS02,,,DMU02
"3",Qa,Alluvial and colluvial deposits,Alluvial and colluvial deposits,Holocene and Pleistocene,"Unconsolidated stream-laid sand, gravel, and silt, bouldery, poorly to moderately well sorted. Includes alluvial fan, slope wash, colluvial and glacial outwash deposits of Bull Lake and younger in age. Thickness of deposits as much as 10 m",01-01,DMU1,Qa,Qa,"255,255,204",,DAS02,Alluvial sediment,High,DMU03
"4",Qs,Landslide deposits,Landslide deposits,Holocene and Pleistocene,"Mostly rock debris, locally coarse angular rock fragments in silt or clay matrix. Forms hummocky topography. Produced by rockfall- and rockslide-avalanches, slump, and earthflow. Thickness possibly as much as 300 m",01-02,DMU1,Qs,Qs,"235,235,077",red triangles,DAS02,"Debris flows, landslides, and other localized mass-movement sediment",High,DMU04
"5",Qg,Glacial deposits,Glacial deposits,Holocene and Pleistocene,"Drift, heterogeneous mixture of rock fragments in silty clay matrix. Forms hummocky topography. Includes deposits from alpine and continental glaciations; as much as 100 m thick except in Swan River valley where thickness of mostly sand and gravel deposits exceed 300 m",01-03,DMU1,Qg,Qg,"255,255,179",,DAS02,Glacial till,High,DMU05
"6",Ql,Lake deposits,Lake deposits,Pleistocene,"Light-gray to dark-gray and gray-brown, thin- to thick-bedded silty clay, clay, and some sand; deposited in glacial lakes. Thickness of deposits as much as 30 m",01-04,DMU1,Ql,Ql,"255,255,102",,DAS02,Lacustrine sediment,High,DMU06
"7",QTog,Older gravel,Older gravel,Pleistocene and Possibly Pliocene,Coarse stream-laid gravel on remnants of at least four bench surfaces as much as 250 m above modern stream alluvium. Maximum thickness Is about 10 m,01-05,DMU1,QTog,QTog,"235,179,077",red circles,DAS02,"Alluvial sediment, mostly coarse-grained",High,DMU07
"8",Tla,Lake deposits,Lake deposits,Miocene and Oligocene,"Gray, yellowish-gray, gray-brown, sandy silt, silt, clay, shale, marl, and some poorly sorted conglomerate; locally thin coal and carbonates. Locally includes wood and leaf fragments, insects, fish, gastropods, pelecypods, and ostracods. In Landers Fork, Blackfoot River includes tuff. Thickness possibly as much as 125 m",01-06,DMU1,Tla,Tla,"235,153,000",,DAS02,"Lacustrine sediment, mostly fine-grained",High,DMU08
"9",Ksmr,St. Mary River Formation,St. Mary River Formation,Upper Cretaceous,"Map unit includes the Paleocene and Upper Cretaceous Willow Creek Formation (Viele, 1960 - DAS14; Schmidt, 1972b - DAS16) in southeast corner of map where only the lower part of the Willow Creek is present and where it consists of grayish-green, olive-drab, and light-gray mudstone and sandstone. Some coarse to very coarse grained beds of volcanic sandstone. The upper part of the St. Mary River consists of light- to dark-red, purplish-red, brown, gray, greenish-gray mudstone and sandstone, and some beds of volcanic sandstone and conglomerate. A thin bed of white ash-fall tuff occurs near middle part. The formation is as much as 790 m thick. The upper part of the St. Mary River Formation, west of Augusta, is mostly grayish green, sandy mudstone with moderate-light-red and purple interbeds. It contains numerous zones of dark-brown limestone nodules. Near Augusta, strata equivalent to the lower part of the St. Mary River are present and consist of grayish-green, olive-drab, and light-gray mudstone, sandy mudstone, and sandstone with some gray argillaceous limestone and carbonaceous shale. Sandstones are fine to medium grained and crossbedded. They are as much as 12 m thick. Thin argillaceous limestone beds as much as 0.3 m thick are locally present. A carbonaceous shale bed as much as 1. 0 m thick is beneath a 1.0 m oyster bed near the base of the formation. Some reptile bone fragments and pelecypods are near the base. In the Augusta area the formation thickness is as much as 430 m",01-07,DMU1,Ksmr,Ksmr,"222,235,102",,DAS02 | DAS14 | DAS16,Sandstone and mudstone,Medium,DMU09
"10",Kh,Horsethief Sandstone and Bearpaw-Horsethief transition unit,Horsethief Sandstone and Bearpaw-Horsethief transition unit,Upper Cretaceous,"Horsethief Sandstone is mostly gray to gray-brown, fine- to medium-grained crossbedded sandstone. The upper 6-12 m of the formation commonly contain lentils of titaniferous magnetite sandstone. Southeast of Augusta the Horsethief contains volcanic-rich sandstone and conglomerates (Viele and Harris, 1965 - DAS33). The Horsethief is absent in the southeast part of the quadrangle where its position is marked by an Ostrea glabra bed (Viele, 1960 - DAS14); locally the sandstone contains pelecypods. The Horsethief is as much as 50 m thick. The Bearpaw-Horsethief transition unit of Cobban (1955 - DAS19) beneath the Horsethief, consists of dark-gray mudstone interbedded with light- to medium-gray mudstone and fine- to medium-grained sandstone that is thin bedded in the lower part becoming thicker bedded in the upper part. Near Sun River a 0.3 m coal bed occurs about 6 m below the top. Thickness of the transition unit as much as 60 m",01-08,DMU1,Kh,Kh,"153,179,077",,DAS02 | DAS14 | DAS19 | DAS33,Sandstone and mudstone,High,DMU10
"11",Ku,Upper and Lower Cretaceous rocks undivided,Upper and Lower Cretaceous rocks undivided,Cretaceous,"Upper and lower cretaceous rocks undivided, includes Two Medicine Formation, Virgelle Sandstone, Telegraph Creek Formation, Marias River Shale, and Blackleaf, Kootenai, and Mount Pablo Formations",01-09,DMU1,Ku,Ku,"235,235,128",,DAS02,Sedimentary rock,High,DMU11
"12",Ktm,Two Medicine Formation,Two Medicine Formation,Upper Cretaceous,"Gray-green and gray mudstone with minor sandstone in upper and middle parts with gray-green, olive-drab, and gray sandstone and mudstone in lower part. Upper and middle parts locally contain reddish-gray, red-brown, and purple interbeds of mudstone. The sandstones are fine to coarse grained and locally conglomeratic. Carbonaceous shale and locally a coal bed are present in the lower part. Petrified wood common about 30 m above base; vertebrate bones common in the upper 150 m. Pelecypods locally present at various horizons. Thickness about 670 m",01-10,DMU1,Ktm,Ktm,"204,204,102",,DAS02,Mostly mudstone,High,DMU12
"13",Ktv,"Volcanic-rich sedimentary rocks, flows, and tuffs","Volcanic-rich sedimentary rocks, flows, and tuffs of the Two Medicine Formation",Upper Cretaceous,"South of Augusta. The upper and middle parts are green, grayish-green, gray, brownish-gray, and maroon volcanic sandstone, mudstone, and conglomerate; brown, pink, and white ash-fall and ash-flow tuffs; and interbedded trachyte and latite flows (Viele, 1960 - DAS14; Viele and Harris, 1965 - DAS33; Schmidt and Strong, 1972 - DAS18; and Schmidt, 1972a, b, c - DAS15, DAS16, DAS17). Lower 150 m is gray-green, olive-drab, and gray sandstone and mudstone. Thickness ranges from 640 m to possibly as much as 1,500 m",01-10-01,DMU2,Ktv,Ktv,"204,204,077",red < symbols,DAS02 | DAS14 | DAS15 | DAS16 | DAS17 | DAS18 | DAS33,Sedimentary and extrusive igneous material,High,DMU13
"14",Kvt,Virgelle Sandstone and Telegraph Creek Formation,Virgelle Sandstone and Telegraph Creek Formation,Upper Cretaceous,Virgelle Sandstone and Telegraph Creek Formation,01-11,DMU1,Kvt,Kvt,"204,235,102",,DAS02,Sandstone and mudstone,High,DMU14
"15",,Virgelle Sandstone,Virgelle Sandstone,Upper Cretaceous,"Consists of moderately thick, light-gray, fine-grained sandstone beds of which some are locally iron impregnated and crossbedded. At the top of the Virgelle, a titanifferous magnetite sandstone bed, as much as 6 m thick, forms a prominent rimrock south, west, and northwest of Choteau, as well as numerous other localities in the outcrop area. The Virgelle rarely contains pelecypods; wood fragments are locally in upper part. Thickness ranges from about 40 m to 60 m",01-11-01,DMU2,,,,,DAS02,Sandstone,High,DMU15
